customer_id,name,country,age,total_orders,total_spent
C0048,Olivia Martin,Australia,21,18,1657.92
C0049,Sophia Wilson,Australia,32,1,1208.86
C0050,John Smith,Canada,22,17,818.13
C0051,John Smith,UK,39,4,86.98
C0052,Sophia Wilson,Canada,58,16,268.8
C0053,Emma Brown,UK,40,19,286.47
C0054,David Taylor,Australia,26,20,331.57
C0055,Emma Brown,USA,27,1,973.79
C0056,Emma Brown,Australia,25,15,1740.56
C0057,Emma Brown,USA,60,12,1102.46
C0058,Sophia Wilson,Australia,60,13,1829.87
C0059,David Taylor,Canada,47,2,1630.64
C0060,Michael Lee,Canada,42,9,1037.76
C0061,David Taylor,UK,32,10,951.05
C0062,Sophia Wilson,Australia,57,9,1419.57
C0063,David Taylor,UK,55,12,1052.67
C0064,Olivia Martin,USA,26,3,764.55
C0065,Emma Brown,Australia,59,13,146.91
C0066,Michael Lee,UK,52,19,99.44
C0067,David Taylor,Canada,43,5,1052.93
C0068,Sophia Wilson,USA,40,8,1382.35
C0069,John Smith,USA,65,9,1772.02
C0070,Olivia Martin,USA,44,13,164.87
C0071,Sophia Wilson,Australia,34,7,548.35
C0072,Olivia Martin,UK,42,13,756.27
C0073,Emma Brown,Australia,36,17,1823.09
C0074,Sophia Wilson,UK,30,5,649.51
C0075,Michael Lee,USA,53,17,115.62
C0076,David Taylor,UK,22,11,872.16
C0077,Olivia Martin,UK,34,9,291.62
C0078,Michael Lee,USA,40,3,54.85
C0079,Sophia Wilson,Canada,40,13,525.13
C0080,Sophia Wilson,UK,39,4,199.83
C0081,Michael Lee,Australia,21,5,914.64
C0082,Michael Lee,USA,62,8,436.7
C0083,John Smith,USA,59,20,1568.69
C0084,Michael Lee,UK,22,12,208.16
C0085,David Taylor,USA,23,8,1083.03
C0086,Emma Brown,USA,20,12,594.58
C0087,Emma Brown,UK,51,16,813.14
C0088,Sophia Wilson,Canada,26,19,171.84
C0089,Olivia Martin,UK,34,10,1219.96
C0090,Olivia Martin,Australia,50,8,843.15
C0091,Michael Lee,Canada,47,2,218.99
C0092,Olivia Martin,USA,36,13,1899.28
C0093,Michael Lee,USA,47,5,1309.57
C0094,John Smith,USA,25,7,1177.92
C0095,Sophia Wilson,Canada,44,4,1313.84
C0096,Michael Lee,Australia,35,3,671.59
C0097,Emma Brown,Canada,59,10,1230.45
C0098,Emma Brown,UK,20,2,1006.73
C0099,Michael Lee,UK,63,5,1149.63
C0100,Olivia Martin,USA,45,16,569.33
C0101,Olivia Martin,Australia,52,2,1196.15
C0102,Emma Brown,Canada,24,17,62.27
C0103,Michael Lee,UK,22,2,244.46
C0104,John Smith,Canada,34,12,1165.94
C0105,David Taylor,UK,57,8,833.7
C0106,Emma Brown,Australia,47,8,1586.04
C0107,Sophia Wilson,UK,52,5,985.88
C0108,Emma Brown,UK,38,18,144.98
C0109,Emma Brown,UK,45,1,1785.58
C0110,John Smith,UK,40,15,935.98
C0111,David Taylor,Canada,25,13,1702.76
C0112,Michael Lee,Canada,54,3,441.8
C0113,Sophia Wilson,USA,38,12,427.16
C0114,Sophia Wilson,Canada,41,2,1735.41
C0115,Michael Lee,Australia,21,15,1348.39
C0116,Emma Brown,Canada,27,9,547.58
C0117,Emma Brown,USA,59,3,1677.87
C0118,Michael Lee,UK,23,14,1899.38
C0119,Michael Lee,UK,38,5,1169.48
C0120,Sophia Wilson,UK,35,13,214.41
C0121,John Smith,USA,30,5,1039.95
C0122,Michael Lee,USA,59,11,1358.86
C0123,John Smith,Australia,53,17,82.63
C0124,Sophia Wilson,UK,24,15,110.43
C0125,Olivia Martin,USA,49,1,270.32
C0126,David Taylor,Canada,29,5,497.04
C0127,David Taylor,UK,24,18,1829.28
C0128,John Smith,Australia,20,5,621.87
C0129,Olivia Martin,UK,42,6,443.37
C0130,David Taylor,Australia,29,9,1607.36
C0131,Olivia Martin,UK,22,7,1225.5
C0132,Michael Lee,Australia,36,11,621.65
C0133,John Smith,Australia,25,2,198.61
C0134,Emma Brown,UK,50,3,1108.73
C0135,David Taylor,UK,56,12,1430.91
C0136,Sophia Wilson,Australia,61,3,879.66
C0137,Sophia Wilson,UK,50,1,166.8
C0138,Emma Brown,Australia,55,5,179.18
C0139,John Smith,Australia,33,14,1961.35
C0140,Olivia Martin,USA,50,19,1627.19
C0141,Michael Lee,Australia,64,20,209.2
C0142,David Taylor,Canada,50,3,838.42
C0143,Olivia Martin,Australia,21,2,1158.08
C0144,Olivia Martin,USA,52,4,1084.0
C0145,Emma Brown,USA,32,14,335.89
C0146,David Taylor,Australia,45,12,1500.52
C0147,Emma Brown,UK,41,10,1545.9
C0148,Olivia Martin,Australia,28,17,1464.61
C0149,Olivia Martin,Australia,24,13,119.55
C0150,David Taylor,USA,29,3,410.46
C0151,Emma Brown,UK,32,12,1691.35
C0152,David Taylor,Canada,27,1,631.76
C0153,Olivia Martin,UK,44,11,625.51
C0154,Emma Brown,USA,63,18,732.88
C0155,John Smith,Australia,61,2,1885.23
C0156,Olivia Martin,Australia,38,19,344.96
C0157,John Smith,UK,29,18,1747.01
C0158,Olivia Martin,Canada,26,20,980.47
C0159,David Taylor,Canada,43,11,410.12
C0160,David Taylor,Australia,22,4,1492.85
C0161,John Smith,Canada,40,20,993.92
C0162,Sophia Wilson,USA,60,11,1158.9
C0163,Emma Brown,Canada,20,6,1632.41
C0164,David Taylor,UK,39,13,1503.2
C0165,John Smith,USA,40,1,1628.95
C0166,Emma Brown,Canada,22,12,967.98
C0167,Sophia Wilson,Australia,39,9,299.34
C0168,David Taylor,USA,54,4,1834.92
C0169,Emma Brown,Australia,31,3,1098.36
C0170,David Taylor,Australia,24,8,59.85
C0171,Olivia Martin,Australia,41,19,304.29
C0172,David Taylor,Canada,53,2,160.09
C0173,David Taylor,Canada,53,18,1145.05
C0174,John Smith,Australia,29,15,567.13
C0175,Emma Brown,Australia,40,19,1076.6
C0176,Olivia Martin,Australia,35,19,1960.56
C0177,Sophia Wilson,Canada,21,2,378.52
C0178,John Smith,Australia,60,11,1845.07
C0179,David Taylor,Canada,57,17,220.35
C0180,Sophia Wilson,Canada,63,7,1408.14
C0181,John Smith,UK,58,11,395.88
C0182,David Taylor,Australia,58,6,1627.73
C0183,Michael Lee,USA,41,3,1968.11
C0184,Olivia Martin,Australia,35,12,343.21
C0185,Michael Lee,Australia,62,15,591.03
C0186,John Smith,Canada,20,2,165.34
C0187,Michael Lee,Canada,25,1,1504.69
C0188,John Smith,USA,58,18,667.82
C0189,Emma Brown,USA,30,11,454.16
C0190,Michael Lee,USA,50,18,580.45
C0191,Sophia Wilson,Canada,47,18,1058.75
C0192,Sophia Wilson,UK,20,11,1128.97
C0193,Olivia Martin,Australia,59,2,1800.44
C0194,Olivia Martin,Canada,50,1,1668.13
C0195,Sophia Wilson,Australia,51,16,1291.4
C0196,Olivia Martin,Australia,55,10,1215.15
C0197,John Smith,UK,54,13,1044.29
C0198,Emma Brown,USA,41,12,1700.88
C0199,Michael Lee,Canada,38,3,578.12
C0200,Sophia Wilson,Canada,32,9,1925.76
C0201,Emma Brown,USA,59,7,1802.44
C0202,Emma Brown,Australia,42,11,814.72
C0203,John Smith,USA,63,8,477.37
C0204,Sophia Wilson,Australia,32,15,888.12
C0205,Emma Brown,USA,49,2,849.24
C0206,Olivia Martin,UK,46,3,1259.39
C0207,John Smith,UK,36,2,156.75
C0208,David Taylor,USA,28,3,1138.61
C0209,David Taylor,Australia,46,14,1007.41
C0210,John Smith,UK,60,13,643.55
C0211,John Smith,Canada,65,10,1859.8
C0212,Sophia Wilson,UK,63,19,1657.42
C0213,Michael Lee,UK,29,2,692.3
C0214,Emma Brown,USA,25,6,134.9
C0215,Michael Lee,UK,33,8,1431.24
C0216,John Smith,UK,46,10,530.54
C0217,John Smith,UK,47,2,852.14
C0218,Olivia Martin,UK,58,3,1401.79
C0219,Emma Brown,Canada,32,13,1865.75
C0220,John Smith,Canada,49,18,109.02
C0221,David Taylor,Canada,38,14,157.98
C0222,John Smith,USA,53,12,247.7
C0223,John Smith,Canada,23,20,756.84
C0224,Olivia Martin,USA,45,13,733.33
C0225,Michael Lee,Canada,45,19,104.91
C0226,Olivia Martin,UK,57,15,394.98
C0227,Sophia Wilson,USA,50,9,1392.71
C0228,David Taylor,Canada,40,7,654.35
C0229,Sophia Wilson,Canada,57,10,334.33
C0230,John Smith,USA,20,15,1638.64
C0231,Emma Brown,Australia,29,9,1510.28
C0232,Olivia Martin,UK,21,12,1853.29
C0233,Olivia Martin,Canada,22,13,1667.56
C0234,Emma Brown,Australia,55,5,819.32
C0235,David Taylor,UK,30,8,1776.38
C0236,Michael Lee,Australia,38,4,1256.44
C0237,Sophia Wilson,USA,29,12,1339.96
C0238,John Smith,Canada,27,3,595.33
C0239,David Taylor,Canada,22,1,1502.53
C0240,Michael Lee,Canada,60,18,1182.45
C0241,Emma Brown,Australia,51,12,1408.68
C0242,Olivia Martin,Canada,31,4,281.51
C0243,Olivia Martin,UK,61,17,905.0
C0244,John Smith,UK,23,2,200.43
C0245,Sophia Wilson,UK,58,6,465.1
C0246,Emma Brown,Australia,30,6,704.18
C0247,Michael Lee,Canada,44,9,69.33
C0248,Sophia Wilson,Australia,64,14,829.03
C0249,David Taylor,USA,45,16,1216.42
C0250,David Taylor,Canada,27,14,1153.15
C0251,Emma Brown,USA,34,5,1724.56
C0252,Michael Lee,Australia,43,7,1449.67
C0253,Emma Brown,Canada,32,4,1161.36
C0254,Emma Brown,Canada,26,7,1256.25
C0255,Olivia Martin,Canada,64,8,1900.5
C0256,Olivia Martin,Canada,51,2,1448.32
C0257,Olivia Martin,USA,36,8,409.88
C0258,John Smith,Canada,22,17,1407.87
C0259,Olivia Martin,Canada,53,11,572.85
C0260,Michael Lee,Canada,49,9,986.39
C0261,Olivia Martin,UK,31,13,715.23
C0262,Sophia Wilson,Australia,33,17,1671.92
C0263,David Taylor,USA,57,4,556.88
C0264,Michael Lee,USA,57,1,1793.07
C0265,Emma Brown,UK,35,11,1194.7
C0266,Michael Lee,UK,32,8,1422.4
C0267,Sophia Wilson,UK,62,6,65.86
C0268,Michael Lee,Canada,53,2,712.9
C0269,Sophia Wilson,Canada,39,7,1319.98
C0270,Michael Lee,Canada,23,16,1388.49
C0271,Sophia Wilson,USA,26,18,1220.28
C0272,Emma Brown,USA,60,1,591.52
C0273,Michael Lee,Australia,49,4,1252.0
C0274,Olivia Martin,USA,33,17,1735.02
C0275,John Smith,USA,27,7,1488.04
C0276,David Taylor,UK,48,19,1978.49
C0277,Emma Brown,Australia,34,2,876.91
C0278,David Taylor,USA,35,1,661.83
C0279,Olivia Martin,USA,24,12,1496.88
C0280,Olivia Martin,USA,49,19,1968.56
C0281,Emma Brown,Canada,35,8,389.79
C0282,Michael Lee,UK,22,8,1256.63
C0283,Emma Brown,Australia,21,9,1618.18
C0284,Emma Brown,UK,20,13,1077.19
C0285,David Taylor,Australia,43,13,1190.85
C0286,Michael Lee,Australia,52,11,817.43
C0287,Sophia Wilson,UK,63,10,1685.67
C0288,Michael Lee,UK,54,4,929.0
C0289,David Taylor,UK,24,15,817.03
C0290,Sophia Wilson,Australia,51,12,712.38
C0291,Emma Brown,Australia,40,17,561.01
C0292,David Taylor,UK,35,2,687.07
C0293,Sophia Wilson,Australia,54,11,1984.7
C0294,Olivia Martin,USA,47,12,1393.61
C0295,David Taylor,USA,26,16,1267.98
C0296,Olivia Martin,Australia,20,10,627.91
C0297,John Smith,Australia,60,9,166.47
C0298,Michael Lee,UK,45,12,1209.0
C0299,David Taylor,Australia,39,11,891.87
C0300,David Taylor,Canada,44,13,1636.48
C0301,Sophia Wilson,UK,49,5,1064.66
C0302,Emma Brown,UK,64,5,1691.13
C0303,Sophia Wilson,Australia,46,13,1988.51
C0304,David Taylor,Canada,49,15,1253.38
C0305,Sophia Wilson,Australia,45,12,506.24
C0306,Emma Brown,USA,65,5,1393.83
C0307,Emma Brown,Canada,50,8,1528.58
C0308,David Taylor,UK,50,2,1864.63
C0309,Emma Brown,Canada,28,3,950.05
C0310,Olivia Martin,Australia,46,18,234.18
C0311,Michael Lee,UK,60,15,473.66
C0312,Michael Lee,USA,60,9,1255.01
C0313,David Taylor,Australia,60,20,420.22
C0314,David Taylor,UK,50,5,1165.13
C0315,Emma Brown,UK,31,4,887.84
C0316,John Smith,Canada,40,10,693.64
C0317,Olivia Martin,Australia,41,16,1162.7
C0318,John Smith,Canada,25,15,1942.84
C0319,David Taylor,UK,64,13,92.92
C0320,John Smith,UK,43,20,1003.12
C0321,Sophia Wilson,Australia,33,10,1849.97
C0322,Olivia Martin,UK,24,15,1736.43
C0323,John Smith,Australia,59,12,447.53
C0324,Emma Brown,Canada,22,12,604.08
C0325,John Smith,USA,46,18,1377.74
C0326,Sophia Wilson,UK,48,14,216.98
C0327,Sophia Wilson,UK,49,18,1850.41
C0328,Olivia Martin,UK,60,9,471.5
C0329,Emma Brown,UK,53,5,824.4
C0330,Emma Brown,Australia,45,6,560.49
C0331,John Smith,USA,46,7,1814.68
C0332,David Taylor,USA,41,7,1286.93
C0333,David Taylor,Canada,20,1,1160.59
C0334,Emma Brown,UK,21,14,377.96
C0335,Emma Brown,USA,28,1,419.76
C0336,Emma Brown,UK,21,8,1909.65
C0337,Olivia Martin,UK,63,2,209.6
C0338,David Taylor,Australia,48,15,712.67
C0339,Michael Lee,Australia,58,10,1051.69
C0340,Michael Lee,USA,36,17,1983.5
C0341,Emma Brown,UK,62,9,889.22
C0342,David Taylor,USA,31,6,352.85
C0343,David Taylor,Canada,22,19,894.43
C0344,Michael Lee,UK,42,16,515.45
C0345,Emma Brown,UK,30,6,543.03
C0346,Emma Brown,Australia,25,13,140.86
C0347,David Taylor,Canada,58,5,1978.63
C0348,John Smith,UK,43,15,1667.29
C0349,Olivia Martin,UK,59,1,1578.62
C0350,Olivia Martin,Canada,64,15,1905.69
C0351,Olivia Martin,USA,22,8,1786.01
C0352,Sophia Wilson,Australia,61,8,1057.53
C0353,John Smith,USA,54,10,1291.75
C0354,Emma Brown,Canada,23,5,1374.98
C0355,David Taylor,Australia,62,13,758.97
C0356,Michael Lee,UK,53,6,1581.51
C0357,Michael Lee,Australia,55,17,1004.61
C0358,David Taylor,Canada,35,9,1444.25
C0359,Olivia Martin,USA,38,15,1162.18
C0360,Emma Brown,Australia,44,7,1511.72
C0361,Sophia Wilson,USA,61,5,1335.02
C0362,Olivia Martin,Australia,42,8,413.73
C0363,Emma Brown,Australia,23,19,1707.08
C0364,David Taylor,Canada,39,13,88.89
C0365,Emma Brown,Australia,26,5,1605.18
C0366,Olivia Martin,Australia,26,6,525.65
C0367,Sophia Wilson,Australia,40,14,1549.07
C0368,Michael Lee,Australia,54,17,134.11
C0369,David Taylor,USA,62,2,1801.34
C0370,Olivia Martin,USA,41,5,657.14
C0371,Olivia Martin,Canada,26,1,750.38
C0372,Sophia Wilson,Canada,30,9,1409.92
C0373,Sophia Wilson,USA,46,13,1442.94
C0374,Emma Brown,UK,61,10,464.32
C0375,Sophia Wilson,Canada,47,11,1808.98
C0376,Sophia Wilson,Canada,61,9,1855.51
C0377,Olivia Martin,UK,46,18,849.83
C0378,Sophia Wilson,Australia,40,19,637.43
C0379,Emma Brown,UK,34,8,1731.09
C0380,Michael Lee,USA,31,20,1098.92
C0381,Michael Lee,USA,52,15,1423.42
C0382,Michael Lee,Canada,50,9,611.09
C0383,David Taylor,UK,28,11,904.82
C0384,David Taylor,Canada,42,16,654.87
C0385,Emma Brown,Canada,32,13,1420.11
C0386,John Smith,USA,38,17,416.49
C0387,John Smith,Australia,30,4,1582.57
C0388,John Smith,Australia,21,14,1909.61
C0389,David Taylor,UK,33,15,210.56
C0390,John Smith,Canada,40,10,1664.34
C0391,David Taylor,Australia,38,1,1399.25
C0392,John Smith,USA,56,4,1430.41
C0393,David Taylor,USA,40,16,1165.17
C0394,Olivia Martin,UK,63,19,1075.88
C0395,Emma Brown,USA,65,16,1342.79
C0396,Olivia Martin,Canada,42,12,893.17
C0397,Olivia Martin,Australia,52,6,745.18
C0398,John Smith,USA,37,8,368.9
C0399,Emma Brown,Australia,42,1,1413.63
C0400,Emma Brown,UK,34,18,217.96
C0401,Emma Brown,Australia,39,8,1958.43
C0402,David Taylor,Canada,29,5,119.09
C0403,Emma Brown,Canada,35,14,529.94
C0404,John Smith,Canada,22,13,1352.39
C0405,Olivia Martin,UK,31,14,394.38
C0406,Michael Lee,Canada,56,4,413.32
C0407,Emma Brown,UK,53,2,654.48
C0408,Emma Brown,Australia,60,16,1322.53
C0409,Emma Brown,USA,57,8,1650.14
C0410,Sophia Wilson,Australia,29,14,181.68
C0411,John Smith,UK,27,16,1480.45
C0412,Emma Brown,Australia,27,1,1093.95
C0413,Emma Brown,Canada,56,14,1769.91
C0414,David Taylor,UK,22,8,1703.02
C0415,John Smith,USA,52,15,127.82
C0416,Olivia Martin,Australia,34,18,1179.49
C0417,Emma Brown,USA,24,7,89.13
C0418,John Smith,USA,24,7,111.86
C0419,Emma Brown,Canada,34,20,91.87
C0420,John Smith,UK,62,7,1026.43
C0421,David Taylor,USA,54,17,763.14
C0422,Emma Brown,USA,58,14,674.02
C0423,Michael Lee,Canada,49,19,157.04
C0424,Michael Lee,UK,22,9,1636.25
C0425,Olivia Martin,UK,45,7,1728.06
C0426,Olivia Martin,UK,27,16,1248.55
C0427,Olivia Martin,USA,36,9,134.92
C0428,Olivia Martin,Australia,58,1,1884.02
C0429,John Smith,USA,26,2,1848.49
C0430,Emma Brown,Canada,20,2,134.5
C0431,Olivia Martin,Canada,27,13,1961.96
C0432,Emma Brown,Australia,33,11,1966.19
C0433,David Taylor,Canada,58,17,1437.17
C0434,Michael Lee,Canada,20,12,1643.37
C0435,John Smith,Australia,59,14,1828.14
C0436,David Taylor,USA,49,17,1302.39
C0437,Sophia Wilson,Canada,49,1,1746.1
C0438,Michael Lee,USA,50,3,1342.92
C0439,Michael Lee,UK,64,3,136.83
C0440,John Smith,UK,41,2,688.93
C0441,Emma Brown,Australia,49,15,1771.76
C0442,John Smith,UK,35,4,1644.82
C0443,Olivia Martin,UK,39,13,1655.71
C0444,John Smith,Canada,57,2,715.69
C0445,Olivia Martin,Australia,50,14,1169.76
C0446,John Smith,Australia,44,3,1694.13
C0447,David Taylor,USA,25,15,1463.53
C0448,David Taylor,USA,49,15,658.26
C0449,Olivia Martin,Canada,60,8,1340.61
C0450,Sophia Wilson,Canada,62,18,127.88
C0451,Michael Lee,UK,45,17,1375.62
C0452,Emma Brown,USA,27,1,1639.41
C0453,Michael Lee,USA,36,8,1432.85
C0454,David Taylor,USA,20,13,194.2
C0455,Michael Lee,Australia,46,15,1978.34
C0456,Emma Brown,UK,55,5,1100.49
C0457,Olivia Martin,Canada,21,10,399.63
C0458,David Taylor,Australia,36,16,1316.14
C0459,Olivia Martin,USA,55,4,1356.68
C0460,Michael Lee,USA,62,5,810.7
C0461,David Taylor,Canada,40,9,344.79
C0462,Michael Lee,USA,39,11,311.54
C0463,Michael Lee,UK,28,11,1452.52
C0464,Emma Brown,UK,20,2,58.03
C0465,Olivia Martin,Canada,27,1,107.86
C0466,John Smith,Canada,20,4,783.91
C0467,Sophia Wilson,UK,55,16,1562.62
C0468,John Smith,Canada,46,1,1919.8
C0469,John Smith,Australia,43,5,321.39
C0470,Emma Brown,UK,32,18,1930.94
C0471,Sophia Wilson,USA,23,8,1629.67
C0472,John Smith,Canada,49,2,1058.92
C0473,Sophia Wilson,UK,31,5,1444.65
C0474,John Smith,Australia,30,1,1627.15
C0475,Michael Lee,USA,64,14,858.08
C0476,Emma Brown,Canada,24,5,1043.18
C0477,David Taylor,Australia,41,12,816.06
C0478,Olivia Martin,Australia,21,10,1729.75
C0479,John Smith,USA,51,3,1714.82
C0480,Emma Brown,UK,51,5,1457.17
C0481,John Smith,USA,63,15,772.49
C0482,Sophia Wilson,Canada,54,15,845.61
C0483,John Smith,Canada,63,6,1071.47
C0484,Michael Lee,Canada,29,17,1608.94
C0485,Olivia Martin,Canada,57,11,1309.59
C0486,Sophia Wilson,Australia,48,4,1511.33
C0487,Sophia Wilson,Australia,24,3,1339.64
C0488,Emma Brown,Australia,21,16,537.66
C0489,Sophia Wilson,Canada,24,6,1451.51
C0490,Emma Brown,Australia,31,12,1908.96
C0491,Emma Brown,UK,64,19,1208.72
C0492,David Taylor,Canada,27,6,1766.49
C0493,Sophia Wilson,USA,43,12,817.22
C0494,Sophia Wilson,Australia,32,12,1590.87
C0495,David Taylor,UK,29,6,659.99
C0496,Emma Brown,UK,48,3,982.54
C0497,Emma Brown,UK,59,2,1369.37
C0498,Emma Brown,UK,32,15,468.07
C0499,Emma Brown,Canada,62,3,520.4
C0500,John Smith,Australia,48,12,1762.92
